time,FLOW
2013-05-16,0.0149
2013-05-17,0.0148
2013-05-18,0.0163
2013-05-19,0.026
2013-05-20,0.0373
2013-05-21,0.0262
2013-05-22,0.0204
2013-05-23,0.0195
2013-05-24,0.0184
2013-05-25,0.016
2013-05-26,0.0149
2013-05-27,0.014
2013-05-28,0.014
2013-05-29,0.0138
2013-05-30,0.0131
2013-05-31,0.0142
2013-06-01,0.0135
2013-06-02,0.0176
2013-06-03,0.0153
2013-06-04,0.0131
2013-06-05,0.0123
2013-06-06,0.0596
2013-06-07,0.0451
2013-06-08,0.0328
2013-06-09,0.0245
2013-06-10,0.0266
2013-06-11,0.0287
2013-06-12,0.0233
2013-06-13,0.0217
2013-06-14,0.0179
2013-06-15,0.0158
2013-06-16,0.015
2013-06-17,0.015
2013-06-18,0.0176
2013-06-19,0.0149
2013-06-20,0.0136
2013-06-21,0.0127
2013-06-22,0.0125
2013-06-23,0.0121
2013-06-24,0.0117
2013-06-25,0.0114
2013-06-26,0.0156
2013-06-27,0.0126
2013-06-28,0.0117
2013-06-29,0.0112
2013-06-30,0.0111
2013-07-01,0.0109
2013-07-02,0.0429
2013-07-03,0.0833
2013-07-04,0.0936
2013-07-05,0.0569
2013-07-06,0.0367
2013-07-07,0.0302
2013-07-08,0.0263
2013-07-09,0.0222
2013-07-10,0.0805
2013-07-11,0.0738
2013-07-12,0.0568
2013-07-13,0.0439
2013-07-14,0.0417
2013-07-15,0.0346
2013-07-16,0.0294
2013-07-17,0.0265
2013-07-18,0.0252
2013-07-19,0.0235
2013-07-20,0.0222
2013-07-21,0.0221
2013-07-22,0.0209
2013-07-23,0.0197
2013-07-24,0.0184
2013-07-25,0.0171
2013-07-26,0.0161
2013-07-27,0.0178
2013-07-28,0.017
2013-07-29,0.0151
2013-07-30,0.0141
2013-07-31,0.014
2013-08-01,0.0146
2013-08-02,0.0134
2013-08-03,0.0128
2013-08-04,0.0123
2013-08-05,0.0111
2013-08-06,0.0122
2013-08-07,0.0122
2013-08-08,0.0219
2013-08-09,0.0166
2013-08-10,0.0132
2013-08-11,0.0148
2013-08-12,0.0138
2013-08-13,0.0131
2013-08-14,0.0115
2013-08-15,0.0102
2013-08-16,0.0101
2013-08-17,0.0107
2013-08-18,0.0198
2013-08-19,0.014
2013-08-20,0.0121
2013-08-21,0.0112
2013-08-22,0.0109
2013-08-23,0.0102
2013-08-24,0.0096
2013-08-25,0.0089
2013-08-26,0.0087
2013-08-27,0.0091
2013-08-28,0.0096
2013-08-29,0.0091
2013-08-30,0.0083
2013-08-31,0.009
2013-09-01,0.0088
2013-09-02,0.0083
2013-09-03,0.0079
2013-09-04,0.0069
2013-09-05,0.0069
2013-09-06,0.0063
2013-09-07,0.0063
2013-09-08,0.0066
2013-09-09,0.0063
2013-09-10,0.0133
2013-09-11,0.024
2013-09-12,0.0221
2013-09-13,0.0212
2013-09-14,0.0206
